iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
JPN,fossil-fuel-operations,other-fossil-fuel-operations,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-06 21:40:00.860679
KAZ,fossil-fuel-operations,other-fossil-fuel-operations,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,26691.90318540371,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:31.52221
KAZ,fossil-fuel-operations,other-fossil-fuel-operations,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-13 23:05:07.277499
KAZ,fossil-fuel-operations,other-fossil-fuel-operations,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,776774.1383185039,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:31.52221
KAZ,fossil-fuel-operations,other-fossil-fuel-operations,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,2271409.770100632,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:31.52221
KAZ,fossil-fuel-operations,other-fossil-fuel-operations,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,110.94660048,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:31.52221
KAZ,fossil-fuel-operations,other-fossil-fuel-operations,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,36765.19692334203,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:24.556393
KAZ,fossil-fuel-operations,other-fossil-fuel-operations,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-13 23:05:00.966194
KAZ,fossil-fuel-operations,other-fossil-fuel-operations,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1057088.251995077,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:24.556393
KAZ,fossil-fuel-operations,other-fossil-fuel-operations,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,3115834.89201113,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:24.556393
KAZ,fossil-fuel-operations,other-fossil-fuel-operations,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,104.3876911,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:24.556393
